colony,treatment,ID,wing_1_mm,wing_2_mm
AlmdudlerGspritzt,QL,AlmdG_QL_2x_Tag5,2.178,2.147
AlmdudlerGspritzt,QL,AlmdG_QL_2x_Tag7,2.914,2.98
AlmdudlerGspritzt,QL,AlmdG_QL_2x_Tag8,2.738,2.706
AlmdudlerGspritzt,QL,AlmdG_QL_2x_Tag9,1.896,1.921
AlmdudlerGspritzt,QL,AlmdG_QL_2x_Tag10,1.907,1.907
AlmdudlerGspritzt,QL,AlmdG_QL_2x_Tag11,2.467,2.467
AlmdudlerGspritzt,QL,AlmdG_QL_2x_Tag13,2.208,2.216
AlmdudlerGspritzt,QL,AlmdG_QL_2x_Tag15,2.709,2.759
AlmdudlerGspritzt,QL,AlmdG_QL_2x_Tag24,2.079,2.172
AlmdudlerGspritzt,QL,AlmdG_QL_2x_Tag25,2.398,2.425
AlmdudlerGspritzt,QL,AlmdG_QL_2x_Tag30,2.531,2.545
AlmdudlerGspritzt,QL,AlmdG_QL_2x_Tag32,2.581,2.52
AlmdudlerGspritzt,QL,AlmdG_QL_2x_Tag33,3.002,2.962
AlmdudlerGspritzt,QL,AlmdG_QL_2x_Tag34,2.547,2.615
AlmdudlerGspritzt,QL,AlmdG_QL_2x_Tag36,2.567,2.55
AlmdudlerGspritzt,QL,AlmdG_QL_2x_Tag41,2.103,2.102
AlmdudlerGspritzt,QL,AlmdG_QL_2x_Tag42,2.45,2.45
AlmdudlerGspritzt,QL,AlmdG_QL_2x_Tag46,2.698,2.705
AlmdudlerGspritzt,QL,AlmdG_QL_2x_Tag54,2.678,2.732
AlmdudlerGspritzt,QL,AlmdG_QL_2x_Tag60,2.422,2.422
AlmdudlerGspritzt,QR,AlmdG_QR_2x_Tag1,2.663,2.693
AlmdudlerGspritzt,QR,AlmdG_QR_2x_Tag3,2.828,2.845
AlmdudlerGspritzt,QR,AlmdG_QR_2x_Tag5,2.442,2.442
AlmdudlerGspritzt,QR,AlmdG_QR_2x_Tag8,2.36,2.352
AlmdudlerGspritzt,QR,AlmdG_QR_2x_Tag13,3.26,3.118
AlmdudlerGspritzt,QR,AlmdG_QR_2x_Tag15,2.605,2.681
AlmdudlerGspritzt,QR,AlmdG_QR_2x_Tag20,2.288,2.31
AlmdudlerGspritzt,QR,AlmdG_QR_2x_Tag22,2.938,2.938
AlmdudlerGspritzt,QR,AlmdG_QR_2x_Tag24,4.216,4.216
AlmdudlerGspritzt,QR,AlmdG_QR_2x_Tag30,2.342,2.276
AlmdudlerGspritzt,QR,AlmdG_QR_2x_Tag33,2.841,2.908
AlmdudlerGspritzt,QR,AlmdG_QR_2x_Tag36,2.605,2.512
AlmdudlerGspritzt,QR,AlmdG_QR_2x_Tag41,2.903,2.902
AlmdudlerGspritzt,QR,AlmdG_QR_2x_Tag42,2.381,2.412
AlmdudlerGspritzt,QR,AlmdG_QR_2x_Tag45,2.35,2.408
AlmdudlerGspritzt,QR,AlmdG_QR_2x_Tag49,2.791,2.683
AlmdudlerGspritzt,QR,AlmdG_QR_2x_Tag51,2.993,2.962
AlmdudlerGspritzt,QR,AlmdG_QR_2x_Tag55,2.717,2.709
AlmdudlerGspritzt,QR,AlmdG_QR_2x_Tag60,2.167,2.188
AmericanoLatte,QL,AmerLatte_QL_2x_Tag2,2.678,2.707
AmericanoLatte,QL,AmerLatte_QL_2x_Tag3,2.404,2.358
AmericanoLatte,QL,AmerLatte_QL_2x_Tag5,2.769,2.883
AmericanoLatte,QL,AmerLatte_QL_2x_Tag14,2.415,2.385
AmericanoLatte,QL,AmerLatte_QL_2x_Tag15,2.606,2.584
AmericanoLatte,QL,AmerLatte_QL_2x_Tag17,2.352,2.307
AmericanoLatte,QL,AmerLatte_QL_2x_Tag18,2.519,2.535
AmericanoLatte,QL,AmerLatte_QL_2x_Tag21,2.231,2.247
AmericanoLatte,QL,AmerLatte_QL_2x_Tag23,2.605,2.542
AmericanoLatte,QL,AmerLatte_QL_2x_Tag26,2.682,2.692
AmericanoLatte,QL,AmerLatte_QL_2x_Tag27,2.603,2.649
AmericanoLatte,QL,AmerLatte_QL_2x_Tag29,2.664,2.663
AmericanoLatte,QL,AmerLatte_QL_2x_Tag36,2.534,2.511
AmericanoLatte,QL,AmerLatte_QL_2x_Tag39,2.853,2.925
AmericanoLatte,QL,AmerLatte_QL_2x_Tag51,2.572,2.651
AmericanoLatte,QL,AmerLatte_QL_2x_Tag52,2.911,2.882
AmericanoLatte,QL,AmerLatte_QL_2x_Tag53,2.58,2.532
AmericanoLatte,QL,AmerLatte_QL_2x_Tag55,2.603,2.598
AmericanoLatte,QL,AmerLatte_QL_2x_Tag57,3.017,2.991
AmericanoLatte,QL,AmerLatte_QL_2x_Tag58,2.699,2.656
AmericanoLatte,QR,AmerLatte_QR_2x_Tag6,2.705,2.721
AmericanoLatte,QR,AmerLatte_QR_2x_Tag7,2.513,2.513
AmericanoLatte,QR,AmerLatte_QR_2x_Tag14,2.364,2.416
AmericanoLatte,QR,AmerLatte_QR_2x_Tag15,2.687,2.632
AmericanoLatte,QR,AmerLatte_QR_2x_Tag17,2.47,2.306
AmericanoLatte,QR,AmerLatte_QR_2x_Tag25,2.462,2.397
AmericanoLatte,QR,AmerLatte_QR_2x_Tag27,2.295,2.345
AmericanoLatte,QR,AmerLatte_QR_2x_Tag28,2.411,2.392
AmericanoLatte,QR,AmerLatte_QR_2x_Tag29,2.456,2.405
AmericanoLatte,QR,AmerLatte_QR_2x_Tag34,3.204,3.101
AmericanoLatte,QR,AmerLatte_QR_2x_Tag35,2.538,2.533
AmericanoLatte,QR,AmerLatte_QR_2x_Tag38,2.846,2.855
AmericanoLatte,QR,AmerLatte_QR_2x_Tag39,2.844,2.866
AmericanoLatte,QR,AmerLatte_QR_2x_Tag40,2.669,2.557
AmericanoLatte,QR,AmerLatte_QR_2x_Tag42,2.205,2.138
AmericanoLatte,QR,AmerLatte_QR_2x_Tag43,4.228,4.256
AmericanoLatte,QR,AmerLatte_QR_2x_Tag51,2.468,2.429
AmericanoLatte,QR,AmerLatte_QR_2x_Tag54,2.844,2.823
AmericanoLatte,QR,AmerLatte_QR_2x_Tag56,2.604,2.542
AmericanoLatte,QR,AmerLatte_QR_2x_Tag57,2.891,2.894
ArgentinanMate,QL,ArgMate_QL_2x_Tag2,2.598,2.631
ArgentinanMate,QL,ArgMate_QL_2x_Tag7,2.786,2.728
ArgentinanMate,QL,ArgMate_QL_2x_Tag8,2.531,2.527
ArgentinanMate,QL,ArgMate_QL_2x_Tag10,2.441,2.445
ArgentinanMate,QL,ArgMate_QL_2x_Tag12,2.456,2.432
ArgentinanMate,QL,ArgMate_QL_2x_Tag14,2.343,2.32
ArgentinanMate,QL,ArgMate_QL_2x_Tag15,2.75,2.662
ArgentinanMate,QL,ArgMate_QL_2x_Tag18,2.633,2.642
ArgentinanMate,QL,ArgMate_QL_2x_Tag19,2.589,2.621
ArgentinanMate,QL,ArgMate_QL_2x_Tag23,2.669,2.612
ArgentinanMate,QL,ArgMate_QL_2x_Tag24,2.844,2.844
ArgentinanMate,QL,ArgMate_QL_2x_Tag26,2.687,2.752
ArgentinanMate,QL,ArgMate_QL_2x_Tag39,2.826,2.82
ArgentinanMate,QL,ArgMate_QL_2x_Tag40,2.653,2.653
ArgentinanMate,QL,ArgMate_QL_2x_Tag48,2.586,2.544
ArgentinanMate,QL,ArgMate_QL_2x_Tag53,2.631,2.597
ArgentinanMate,QL,ArgMate_QL_2x_Tag56,2.853,2.805
ArgentinanMate,QL,ArgMate_QL_2x_Tag57,2.737,2.665
ArgentinanMate,QL,ArgMate_QL_2x_Tag58,2.47,2.519
ArgentinanMate,QL,ArgMate_QL_2x_Tag60,2.34,2.38
ArgentinanMate,QR,ArgMate_QR_2x_Tag1,2.194,2.145
ArgentinanMate,QR,ArgMate_QR_2x_Tag3,2.51,2.512
