"","X","params","values","ExpDay","Day","Zeit","Hour","Col","QR","ID","Mod","Trial","TimeOfDay"
"1",0,"Transitivity",0.869908512801116,"1","1",7,0,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"2",1,"Average Clustering",0.876402890698235,"1","1",7,0,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"3",2,"GlobalEfficiency",7.79645170343657,"1","1",7,0,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"4",3,"Sum",11796,"1","1",7,0,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"5",4,"Modularity",0.080337579590003,"1","1",7,0,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"6",5,"Assortativity",-0.0542901960411576,"1","1",7,0,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"7",0,"Transitivity",0.84747989698849,"1","1",8,1,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"8",1,"Average Clustering",0.859006958026057,"1","1",8,1,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"9",2,"GlobalEfficiency",6.91559531598706,"1","1",8,1,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"10",3,"Sum",10714,"1","1",8,1,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"11",4,"Modularity",0.145607646170919,"1","1",8,1,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"12",5,"Assortativity",-0.0736938168168441,"1","1",8,1,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"13",0,"Transitivity",0.84747989698849,"1","1",9,2,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"14",1,"Average Clustering",0.859006958026057,"1","1",9,2,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"15",2,"GlobalEfficiency",6.91559531598706,"1","1",9,2,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"16",3,"Sum",10714,"1","1",9,2,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"17",4,"Modularity",0.145607646170919,"1","1",9,2,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"18",5,"Assortativity",-0.0736938168168441,"1","1",9,2,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"19",0,"Transitivity",0.927837534114625,"1","1",10,3,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"20",1,"Average Clustering",0.928861821004804,"1","1",10,3,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"21",2,"GlobalEfficiency",8.41680342670311,"1","1",10,3,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"22",3,"Sum",14878,"1","1",10,3,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"23",4,"Modularity",0.0735860881208295,"1","1",10,3,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"24",5,"Assortativity",-0.0478354472482595,"1","1",10,3,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"25",0,"Transitivity",0.927837534114625,"1","1",11,4,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"26",1,"Average Clustering",0.928861821004804,"1","1",11,4,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"27",2,"GlobalEfficiency",8.41680342670311,"1","1",11,4,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"28",3,"Sum",14878,"1","1",11,4,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
