"","X","params","values","ExpDay","Day","Zeit","Hour","Col","QR","ID","Mod","Trial","TimeOfDay","ColID"
"99",0,"Transitivity",0.965055789415636,"1","2",8,15,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 15","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"100",1,"Average Clustering",0.965709057475765,"1","2",8,15,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 15","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"101",2,"GlobalEfficiency",7.73696657476071,"1","2",8,15,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 15","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"102",3,"Sum",14698,"1","2",8,15,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 15","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"103",4,"Modularity",0.00803742222350434,"1","2",8,15,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 15","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"104",5,"Assortativity",-0.0296182664896396,"1","2",8,15,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 15","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"105",6,"DegreeCentralization",0.00022816727891931,"1","2",8,15,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 15","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"106",0,"Transitivity",0.928604109888798,"1","2",9,16,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 16","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"107",1,"Average Clustering",0.929393136543956,"1","2",9,16,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 16","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"108",2,"GlobalEfficiency",6.91922548460005,"1","2",9,16,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 16","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"109",3,"Sum",12424,"1","2",9,16,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 16","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"110",4,"Modularity",-0.0035005363194183,"1","2",9,16,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 16","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"111",5,"Assortativity",-0.0461534493420286,"1","2",9,16,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 16","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"112",6,"DegreeCentralization",0.000205363562563677,"1","2",9,16,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 16","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"113",0,"Transitivity",0.93330182548591,"1","2",10,17,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 17","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"114",1,"Average Clustering",0.933798715287933,"1","2",10,17,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 17","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"115",2,"GlobalEfficiency",6.80186254479894,"1","2",10,17,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 17","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"116",3,"Sum",12442,"1","2",10,17,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 17","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"117",4,"Modularity",0.0166773636779625,"1","2",10,17,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 17","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"118",5,"Assortativity",-0.0286360887400308,"1","2",10,17,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 17","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"119",6,"DegreeCentralization",0.000216180085174552,"1","2",10,17,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 17","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"120",0,"Transitivity",0.934789075980246,"1","2",11,18,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 18","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"121",1,"Average Clustering",0.93675098459686,"1","2",11,18,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 18","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"122",2,"GlobalEfficiency",6.91066142635782,"1","2",11,18,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 18","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"123",3,"Sum",12570,"1","2",11,18,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 18","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"124",4,"Modularity",0.0377188175809738,"1","2",11,18,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 18","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"125",5,"Assortativity",-0.0390086810798015,"1","2",11,18,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 18","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"126",6,"DegreeCentralization",0.000299199120493748,"1","2",11,18,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 18","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"127",0,"Transitivity",0.950735461369323,"1","2",12,19,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 19","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"128",1,"Average Clustering",0.951561261742736,"1","2",12,19,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 19","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"129",2,"GlobalEfficiency",7.7797781830344,"1","2",12,19,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 19","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"130",3,"Sum",15028,"1","2",12,19,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 19","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"131",4,"Modularity",0.029516263103302,"1","2",12,19,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 19","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"132",5,"Assortativity",-0.0372402336818359,"1","2",12,19,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 19","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"133",6,"DegreeCentralization",0.000220939793407436,"1","2",12,19,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 19","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"134",0,"Transitivity",0.933035087367344,"1","2",13,20,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 20","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"135",1,"Average Clustering",0.934526625968383,"1","2",13,20,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 20","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"136",2,"GlobalEfficiency",7.06972629961934,"1","2",13,20,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 20","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"137",3,"Sum",12622,"1","2",13,20,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 20","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"138",4,"Modularity",0.0324424176211935,"1","2",13,20,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 20","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"139",5,"Assortativity",-0.0568641132241973,"1","2",13,20,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 20","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"140",6,"DegreeCentralization",0.000236855305958122,"1","2",13,20,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 20","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"141",0,"Transitivity",0.91267373230945,"1","2",14,21,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 21","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"142",1,"Average Clustering",0.914866926034693,"1","2",14,21,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 21","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"143",2,"GlobalEfficiency",7.66333842313885,"1","2",14,21,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 21","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"144",3,"Sum",13178,"1","2",14,21,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 21","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"145",4,"Modularity",0.0326386290095979,"1","2",14,21,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 21","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"146",5,"Assortativity",-0.0399510326772559,"1","2",14,21,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 21","Head_Head","RooibosTea","Day","RooibosTea TRUE"
"147",6,"DegreeCentralization",0.000308845867770606,"1","2",14,21,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 21","Head_Head","RooibosTea","Day","RooibosTea TRUE"
