"","X","params","values","ExpDay","Day","Zeit","Hour","Col","QR","ID","Mod","Trial","TimeOfDay"
"1",0,"Transitivity",0.869908512801116,"1","1",7,0,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"2",1,"Average Clustering",0.876402890698235,"1","1",7,0,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"3",2,"GlobalEfficiency",94.4179434433078,"1","1",7,0,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"4",3,"Sum",115918,"1","1",7,0,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"5",4,"Modularity",0.0782079159871963,"1","1",7,0,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"6",5,"Assortativity",-0.0337085592154469,"1","1",7,0,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"7",6,"DegreeCentralization",0.000690509517926828,"1","1",7,0,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Night"
"8",0,"Transitivity",0.84747989698849,"1","1",8,1,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"9",1,"Average Clustering",0.859006958026057,"1","1",8,1,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"10",2,"GlobalEfficiency",93.1067849308526,"1","1",8,1,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"11",3,"Sum",108398,"1","1",8,1,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"12",4,"Modularity",0.0998958858519527,"1","1",8,1,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"13",5,"Assortativity",-0.043701382346988,"1","1",8,1,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"14",6,"DegreeCentralization",0.000663949938938445,"1","1",8,1,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"15",0,"Transitivity",0.888344827586207,"1","1",9,2,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"16",1,"Average Clustering",0.894251560921375,"1","1",9,2,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"17",2,"GlobalEfficiency",74.6739271291272,"1","1",9,2,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"18",3,"Sum",97894,"1","1",9,2,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"19",4,"Modularity",0.0417588422015022,"1","1",9,2,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"20",5,"Assortativity",-0.0461829119538722,"1","1",9,2,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"21",6,"DegreeCentralization",0.000575663668444275,"1","1",9,2,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"22",7,"KeystoneAssortativity",-0.0273929668400928,"1","1",9,2,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"23",8,"KeystoneAssPercentile",26.48,"1","1",9,2,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"24",0,"Transitivity",0.927837534114625,"1","1",10,3,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"25",1,"Average Clustering",0.928861821004804,"1","1",10,3,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"26",2,"GlobalEfficiency",107.591182862846,"1","1",10,3,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
"27",3,"Sum",142082,"1","1",10,3,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea TRUE","Head_Head","RooibosTea","Day"
