"","X","params","values","ExpDay","Day","Zeit","Hour","Col","QR","ID","Mod","Trial","TimeOfDay","ColID"
"1",0,"Transitivity",0.858644418118116,"1","1",18,1,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 1","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"2",1,"Average Clustering",0.869122326197045,"1","1",18,1,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 1","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"3",2,"GlobalEfficiency",106.934017949183,"1","1",18,1,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 1","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"4",3,"Sum",125892,"1","1",18,1,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 1","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"5",4,"Modularity",0.154393319585674,"1","1",18,1,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 1","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"6",5,"Assortativity",-0.0359622934324423,"1","1",18,1,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 1","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"7",6,"DegreeCentralization",0.000705033024280426,"1","1",18,1,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 1","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"8",7,"KeystoneAssortativity",-0.00753228837618471,"1","1",18,1,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 1","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"9",8,"KeystoneAssPercentile",87.4825,"1","1",18,1,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 1","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"10",0,"Transitivity",0.937982024352817,"1","1",19,2,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 2","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"11",1,"Average Clustering",0.941030648530887,"1","1",19,2,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 2","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"12",2,"GlobalEfficiency",109.5835658071,"1","1",19,2,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 2","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"13",3,"Sum",160954,"1","1",19,2,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 2","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"14",4,"Modularity",0.0333851483420496,"1","1",19,2,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 2","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"15",5,"Assortativity",-0.0499779707788525,"1","1",19,2,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 2","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"16",6,"DegreeCentralization",0.000402369716877156,"1","1",19,2,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 2","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"17",7,"KeystoneAssortativity",-0.0233252774923664,"1","1",19,2,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 2","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"18",8,"KeystoneAssPercentile",35.9475,"1","1",19,2,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 2","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"19",0,"Transitivity",0.933700126662445,"1","1",20,3,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 3","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"20",1,"Average Clustering",0.934657624491978,"1","1",20,3,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 3","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"21",2,"GlobalEfficiency",122.384299232851,"1","1",20,3,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 3","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"22",3,"Sum",161520,"1","1",20,3,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 3","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"23",4,"Modularity",0.0847980392315597,"1","1",20,3,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 3","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"24",5,"Assortativity",-0.0132225389864951,"1","1",20,3,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 3","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"25",6,"DegreeCentralization",0.000406720288867586,"1","1",20,3,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 3","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"26",7,"KeystoneAssortativity",-0.0363625564267045,"1","1",20,3,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 3","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"27",8,"KeystoneAssPercentile",2.1275,"1","1",20,3,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 3","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"28",0,"Transitivity",0.965833272234035,"1","1",21,4,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 4","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"29",1,"Average Clustering",0.966146088203218,"1","1",21,4,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 4","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"30",2,"GlobalEfficiency",106.634785711047,"1","1",21,4,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 4","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"31",3,"Sum",162498,"1","1",21,4,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 4","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"32",4,"Modularity",0.00652177628888995,"1","1",21,4,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 4","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"33",5,"Assortativity",-0.0163457409547004,"1","1",21,4,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 4","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"34",6,"DegreeCentralization",0.000374853554728529,"1","1",21,4,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 4","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"35",7,"KeystoneAssortativity",-0.0195352303655913,"1","1",21,4,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 4","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"36",8,"KeystoneAssPercentile",56.85,"1","1",21,4,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 4","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"37",0,"Transitivity",0.915035140562249,"1","1",22,5,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 5","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"38",1,"Average Clustering",0.918862971660185,"1","1",22,5,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 5","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"39",2,"GlobalEfficiency",90.3352070499927,"1","1",22,5,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 5","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"40",3,"Sum",128182,"1","1",22,5,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 5","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"41",4,"Modularity",0.0726134834795346,"1","1",22,5,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 5","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"42",5,"Assortativity",-0.0615522766716412,"1","1",22,5,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 5","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"43",6,"DegreeCentralization",0.000325794050214589,"1","1",22,5,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 5","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"44",7,"KeystoneAssortativity",-0.0157440523669599,"1","1",22,5,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 5","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"45",8,"KeystoneAssPercentile",72.17,"1","1",22,5,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 5","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"46",0,"Transitivity",0.916799305455072,"1","1",23,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 6","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"47",1,"Average Clustering",0.920080288900649,"1","1",23,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 6","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"48",2,"GlobalEfficiency",84.9599161570906,"1","1",23,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 6","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"49",3,"Sum",120224,"1","1",23,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 6","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"50",4,"Modularity",0.0474828008423403,"1","1",23,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 6","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"51",5,"Assortativity",-0.0462526902403029,"1","1",23,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 6","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"52",6,"DegreeCentralization",0.000518697182446716,"1","1",23,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 6","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"53",7,"KeystoneAssortativity",-0.0311898789725383,"1","1",23,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 6","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"54",8,"KeystoneAssPercentile",10.485,"1","1",23,6,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 6","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"55",0,"Transitivity",0.93875755264856,"1","2",0,7,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 7","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"56",1,"Average Clustering",0.940244624497418,"1","2",0,7,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 7","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"57",2,"GlobalEfficiency",121.128483290975,"1","2",0,7,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 7","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"58",3,"Sum",153168,"1","2",0,7,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 7","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"59",4,"Modularity",0.0908564012897359,"1","2",0,7,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 7","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"60",5,"Assortativity",-0.0186817753947203,"1","2",0,7,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 7","Head_Head","RooibosTea","Night","RooibosTea TRUE"
"61",6,"DegreeCentralization",0.000933993344202268,"1","2",0,7,"RooibosTea_QR_1216_1646",TRUE,"RooibosTea_QR_1216_1646 7","Head_Head","RooibosTea","Night","RooibosTea TRUE"
