,ArUcoTag#43,ArUcoTag#2,ArUcoTag#35,ArUcoTag#17,ArUcoTag#42,ArUcoTag#14,ArUcoTag#45,ArUcoTag#34,ArUcoTag#59,ArUcoTag#46,ArUcoTag#51,ArUcoTag#21,ArUcoTag#38,ArUcoTag#11,ArUcoTag#36,ArUcoTag#44,ArUcoTag#16,ArUcoTag#9,ArUcoTag#20,ArUcoTag#48,ArUcoTag#58,ArUcoTag#50,ArUcoTag#26,ArUcoTag#60,ArUcoTag#52,ArUcoTag#37,ArUcoTag#8,ArUcoTag#24,ArUcoTag#33,ArUcoTag#41,ArUcoTag#23,ArUcoTag#40,ArUcoTag#56,ArUcoTag#25,ArUcoTag#29,ArUcoTag#7,ArUcoTag#27,ArUcoTag#28,ArUcoTag#31,ArUcoTag#5,ArUcoTag#54,ArUcoTag#39,ArUcoTag#49,ArUcoTag#57,ArUcoTag#1,ArUcoTag#15,ArUcoTag#55,ArUcoTag#47,ArUcoTag#32,ArUcoTag#22,ArUcoTag#53,ArUcoTag#6,ArUcoTag#61
ArUcoTag#43,0.0,9334.0,9819.0,7349.0,5327.0,1994.0,1844.0,8427.0,7815.0,13283.0,11472.0,18440.0,13046.0,6171.0,8875.0,9908.0,8422.0,9179.0,10064.0,5579.0,10327.0,5933.0,7899.0,6828.0,10610.0,9424.0,7105.0,9315.0,7876.0,8769.0,7987.0,6315.0,6374.0,8625.0,8283.0,7890.0,7010.0,7315.0,6691.0,10022.0,8480.0,11371.0,9714.0,11685.0,11591.0,14428.0,10088.0,12175.0,8555.0,9959.0,9304.0,12319.0,7374.0
ArUcoTag#2,9334.0,0.0,5859.0,2262.0,2425.0,2270.0,2663.0,14594.0,4817.0,5455.0,4464.0,3240.0,4657.0,4913.0,5345.0,4866.0,5924.0,4943.0,5320.0,6814.0,5065.0,3276.0,5150.0,6738.0,3919.0,3656.0,3257.0,5210.0,4137.0,4070.0,3503.0,3261.0,3406.0,2826.0,3368.0,3012.0,3780.0,3715.0,8380.0,11786.0,5428.0,4831.0,4254.0,4663.0,9990.0,5298.0,4741.0,4152.0,5545.0,4787.0,4636.0,6752.0,5214.0
ArUcoTag#35,9819.0,5859.0,0.0,3188.0,3195.0,2963.0,1759.0,22235.0,5862.0,5197.0,5165.0,4636.0,7260.0,4657.0,5019.0,4250.0,5792.0,5136.0,5881.0,5171.0,5306.0,4344.0,5874.0,5382.0,6568.0,5938.0,5413.0,4693.0,3846.0,4601.0,4017.0,3503.0,3730.0,4731.0,4258.0,3098.0,3825.0,4073.0,4304.0,7304.0,4517.0,8171.0,9887.0,6296.0,5852.0,6504.0,5984.0,5466.0,6115.0,4844.0,5162.0,8458.0,5989.0
ArUcoTag#17,7349.0,2262.0,3188.0,0.0,1969.0,1445.0,962.0,3016.0,3246.0,3459.0,2616.0,3259.0,3275.0,2993.0,2429.0,1925.0,2919.0,3770.0,2276.0,3004.0,2516.0,3692.0,3203.0,2853.0,2909.0,2444.0,2498.0,3259.0,2590.0,3100.0,2709.0,2588.0,2526.0,2494.0,2728.0,2189.0,2494.0,2752.0,2317.0,2372.0,3471.0,2328.0,3753.0,2738.0,3195.0,2819.0,3742.0,2950.0,3485.0,3930.0,2725.0,3120.0,3551.0
ArUcoTag#42,5327.0,2425.0,3195.0,1969.0,0.0,1481.0,768.0,2192.0,2956.0,2388.0,1931.0,1680.0,2457.0,3357.0,3290.0,2608.0,2103.0,2633.0,2196.0,2105.0,2841.0,2038.0,2335.0,1977.0,2569.0,3055.0,2442.0,2205.0,1987.0,2430.0,2108.0,1289.0,1867.0,1868.0,2645.0,1823.0,2416.0,1967.0,2160.0,2811.0,2426.0,2208.0,2627.0,2788.0,2905.0,2665.0,2614.0,3667.0,2245.0,1960.0,2495.0,3512.0,2921.0
ArUcoTag#14,1994.0,2270.0,2963.0,1445.0,1481.0,0.0,1041.0,3371.0,3502.0,2945.0,2629.0,2723.0,2045.0,1874.0,1464.0,4240.0,2526.0,2309.0,3038.0,4380.0,2145.0,2814.0,2342.0,3858.0,2686.0,2373.0,2841.0,2537.0,2151.0,2975.0,2573.0,4938.0,2673.0,2425.0,2272.0,2239.0,3250.0,2240.0,5189.0,2941.0,3542.0,2818.0,2866.0,3705.0,2522.0,2627.0,3445.0,2131.0,3263.0,2312.0,2224.0,3216.0,1989.0
ArUcoTag#45,1844.0,2663.0,1759.0,962.0,768.0,1041.0,0.0,2073.0,2194.0,2249.0,1390.0,1766.0,1860.0,1836.0,2427.0,1628.0,1629.0,1438.0,2348.0,3128.0,1778.0,2237.0,1307.0,2319.0,2153.0,2053.0,1564.0,1840.0,1706.0,2177.0,1293.0,2382.0,1350.0,1822.0,1392.0,1405.0,907.0,1019.0,2575.0,1589.0,2772.0,1807.0,1871.0,1877.0,2393.0,2749.0,2245.0,2074.0,1821.0,1224.0,2143.0,2332.0,1971.0
ArUcoTag#34,8427.0,14594.0,22235.0,3016.0,2192.0,3371.0,2073.0,0.0,5116.0,5775.0,3896.0,4846.0,3915.0,3849.0,3344.0,5237.0,4002.0,4151.0,3596.0,7418.0,3986.0,4483.0,3916.0,3506.0,3458.0,4121.0,4240.0,5078.0,6252.0,3855.0,3586.0,3816.0,3934.0,3983.0,3683.0,3070.0,3227.0,2986.0,3797.0,5345.0,5611.0,4594.0,5750.0,6207.0,5451.0,3845.0,4895.0,6073.0,4698.0,4535.0,3663.0,4986.0,5437.0
ArUcoTag#59,7815.0,4817.0,5862.0,3246.0,2956.0,3502.0,2194.0,5116.0,0.0,4758.0,4759.0,5148.0,4852.0,6480.0,4061.0,5284.0,4171.0,6221.0,5545.0,3947.0,4591.0,5373.0,4289.0,5237.0,4413.0,4100.0,3412.0,4389.0,3986.0,14265.0,3899.0,3424.0,3016.0,3588.0,3030.0,4007.0,3961.0,4429.0,4479.0,4430.0,5581.0,8290.0,5641.0,4753.0,5602.0,6043.0,5252.0,4200.0,5954.0,4261.0,5756.0,5532.0,5664.0
ArUcoTag#46,13283.0,5455.0,5197.0,3459.0,2388.0,2945.0,2249.0,5775.0,4758.0,0.0,5431.0,6473.0,5790.0,4026.0,4276.0,4307.0,4220.0,4861.0,5032.0,5020.0,4172.0,5757.0,4205.0,5717.0,5182.0,5017.0,5662.0,10972.0,10028.0,4619.0,4762.0,3818.0,3938.0,3539.0,3509.0,3117.0,4104.0,4345.0,4183.0,6610.0,5639.0,5049.0,6713.0,5844.0,4838.0,5887.0,6454.0,7721.0,5928.0,4604.0,4690.0,9136.0,5833.0
