,ArUcoTag#47,ArUcoTag#38,ArUcoTag#58,ArUcoTag#24,ArUcoTag#36,ArUcoTag#22,ArUcoTag#4,ArUcoTag#39,ArUcoTag#13,ArUcoTag#45,ArUcoTag#43,ArUcoTag#44,ArUcoTag#16,ArUcoTag#28,ArUcoTag#23,ArUcoTag#56,ArUcoTag#19,ArUcoTag#17,ArUcoTag#25,ArUcoTag#33,ArUcoTag#21,ArUcoTag#42,ArUcoTag#40,ArUcoTag#57,ArUcoTag#60,ArUcoTag#61,ArUcoTag#41,ArUcoTag#34,ArUcoTag#55,ArUcoTag#48,ArUcoTag#50,ArUcoTag#7,ArUcoTag#12,ArUcoTag#2,ArUcoTag#53,ArUcoTag#10,ArUcoTag#27,ArUcoTag#3,ArUcoTag#31,ArUcoTag#37,ArUcoTag#8,ArUcoTag#1,ArUcoTag#5,ArUcoTag#6,ArUcoTag#29,ArUcoTag#14,ArUcoTag#26,ArUcoTag#30,ArUcoTag#15,ArUcoTag#49
ArUcoTag#47,0.0,57660.0,46211.0,45491.0,44947.0,28660.0,16632.0,19564.0,20140.0,20713.0,17771.0,15385.0,15433.0,14515.0,19762.0,20712.0,20125.0,17460.0,18473.0,17946.0,17658.0,18877.0,25525.0,25826.0,23285.0,20817.0,5109.0,3459.0,5147.0,9867.0,8053.0,6513.0,7598.0,8513.0,7045.0,6899.0,9408.0,8200.0,8485.0,14614.0,10412.0,13493.0,11426.0,10165.0,15143.0,12719.0,15306.0,14910.0,13641.0,9652.0
ArUcoTag#38,57660.0,0.0,8589.0,7066.0,6937.0,6881.0,6294.0,7855.0,6987.0,7564.0,6851.0,6621.0,5788.0,5640.0,6686.0,5924.0,6034.0,4761.0,4555.0,5936.0,5267.0,5866.0,6606.0,4737.0,6366.0,6157.0,2682.0,2254.0,3188.0,3121.0,3290.0,3700.0,5261.0,4318.0,4638.0,3608.0,3988.0,3194.0,4628.0,4591.0,4021.0,3298.0,3330.0,4262.0,3809.0,5441.0,4186.0,5056.0,5174.0,5229.0
ArUcoTag#58,46211.0,8589.0,0.0,5624.0,7766.0,7743.0,6781.0,8180.0,5679.0,6648.0,6489.0,5609.0,6041.0,5362.0,5360.0,6717.0,6260.0,3893.0,3898.0,6836.0,7568.0,7769.0,5979.0,5689.0,6725.0,6596.0,3386.0,1403.0,3703.0,3638.0,3981.0,4902.0,4381.0,4772.0,5233.0,3608.0,3979.0,3740.0,4434.0,4848.0,5510.0,3552.0,4610.0,5736.0,5086.0,4834.0,5608.0,5755.0,5583.0,4536.0
ArUcoTag#24,45491.0,7066.0,5624.0,0.0,7341.0,4900.0,6090.0,4963.0,5093.0,4701.0,4364.0,5107.0,4540.0,6150.0,5101.0,4886.0,4910.0,3387.0,3048.0,3814.0,4765.0,4684.0,4815.0,4467.0,5225.0,4659.0,2169.0,1821.0,2834.0,2334.0,1758.0,3032.0,3892.0,3944.0,3578.0,2778.0,2697.0,2507.0,2919.0,4483.0,3343.0,3788.0,4437.0,3428.0,4448.0,4307.0,4653.0,4492.0,4784.0,3535.0
ArUcoTag#36,44947.0,6937.0,7766.0,7341.0,0.0,7471.0,6646.0,5289.0,5657.0,6074.0,4755.0,5177.0,4765.0,4762.0,5795.0,6190.0,6776.0,3816.0,3889.0,4650.0,4211.0,5145.0,5001.0,5265.0,5147.0,5478.0,1957.0,1987.0,2938.0,3642.0,3063.0,3377.0,4189.0,4122.0,4090.0,2581.0,3090.0,4613.0,3833.0,5045.0,4341.0,4379.0,4459.0,4373.0,3813.0,6465.0,5511.0,4634.0,6208.0,4638.0
ArUcoTag#22,28660.0,6881.0,7743.0,4900.0,7471.0,0.0,7936.0,8319.0,5703.0,7615.0,5855.0,5622.0,7220.0,5492.0,4776.0,6510.0,5021.0,4419.0,5080.0,5556.0,4297.0,5908.0,6085.0,5642.0,8007.0,7140.0,2794.0,1496.0,3934.0,4103.0,2754.0,4207.0,5578.0,5289.0,4213.0,3894.0,3911.0,5755.0,5141.0,4401.0,4272.0,3807.0,4902.0,5391.0,4379.0,5414.0,6197.0,4173.0,5616.0,7120.0
ArUcoTag#4,16632.0,6294.0,6781.0,6090.0,6646.0,7936.0,0.0,4454.0,6203.0,5431.0,6685.0,5908.0,5535.0,6266.0,5434.0,7359.0,5980.0,4261.0,4540.0,5199.0,5313.0,5373.0,5808.0,4576.0,5867.0,7488.0,2864.0,1840.0,3857.0,2949.0,3203.0,4138.0,4828.0,4671.0,4123.0,3888.0,3326.0,4817.0,4632.0,5642.0,4801.0,5152.0,4686.0,4577.0,5286.0,5168.0,5371.0,5299.0,5013.0,6423.0
ArUcoTag#39,19564.0,7855.0,8180.0,4963.0,5289.0,8319.0,4454.0,0.0,3682.0,4663.0,5076.0,5349.0,5221.0,4556.0,6451.0,5142.0,4806.0,4044.0,3881.0,4424.0,5159.0,6673.0,4455.0,5511.0,5707.0,5324.0,2484.0,1753.0,2756.0,2176.0,1895.0,3593.0,5020.0,3314.0,3898.0,3269.0,3104.0,3656.0,4145.0,4223.0,4966.0,3501.0,6332.0,4151.0,3954.0,3877.0,4921.0,3291.0,4322.0,4600.0
ArUcoTag#13,20140.0,6987.0,5679.0,5093.0,5657.0,5703.0,6203.0,3682.0,0.0,4330.0,6247.0,5964.0,5859.0,5421.0,5341.0,6798.0,5202.0,5141.0,3883.0,5501.0,4841.0,5601.0,4301.0,4318.0,5895.0,6333.0,2305.0,2497.0,3458.0,3278.0,2940.0,3906.0,5246.0,4438.0,3894.0,3637.0,3821.0,4123.0,4398.0,4341.0,5059.0,4274.0,4440.0,3849.0,4150.0,5842.0,5014.0,4208.0,3705.0,5635.0
ArUcoTag#45,20713.0,7564.0,6648.0,4701.0,6074.0,7615.0,5431.0,4663.0,4330.0,0.0,6208.0,5115.0,5025.0,5426.0,6803.0,6407.0,4880.0,3887.0,4359.0,5002.0,4326.0,5128.0,4493.0,5513.0,5710.0,6859.0,2186.0,2290.0,2965.0,2473.0,2504.0,3167.0,4132.0,3306.0,3342.0,3167.0,2971.0,4584.0,4389.0,6794.0,5438.0,3506.0,3687.0,3939.0,4365.0,4183.0,3914.0,3682.0,4535.0,4559.0
