,ArUcoTag#9,ArUcoTag#28,ArUcoTag#37,ArUcoTag#43,ArUcoTag#23,ArUcoTag#20,ArUcoTag#4,ArUcoTag#17,ArUcoTag#53,ArUcoTag#21,ArUcoTag#22,ArUcoTag#5,ArUcoTag#8,ArUcoTag#19,ArUcoTag#61,ArUcoTag#31,ArUcoTag#32,ArUcoTag#40,ArUcoTag#24,ArUcoTag#26,ArUcoTag#16,ArUcoTag#10,ArUcoTag#11,ArUcoTag#36,ArUcoTag#41,ArUcoTag#42,ArUcoTag#7,ArUcoTag#27,ArUcoTag#13,ArUcoTag#44,ArUcoTag#25,ArUcoTag#33,ArUcoTag#34,ArUcoTag#59,ArUcoTag#60,ArUcoTag#46,ArUcoTag#15,ArUcoTag#14,ArUcoTag#47,ArUcoTag#3,ArUcoTag#51,ArUcoTag#30,ArUcoTag#50,ArUcoTag#29,ArUcoTag#38,ArUcoTag#18,ArUcoTag#57,ArUcoTag#52,ArUcoTag#6,ArUcoTag#54,ArUcoTag#49
ArUcoTag#9,0.0,937.0,1124.0,1035.0,807.0,684.0,877.0,885.0,1088.0,751.0,602.0,875.0,922.0,995.0,1224.0,883.0,864.0,736.0,1149.0,1221.0,770.0,571.0,1060.0,641.0,546.0,623.0,4185.0,1491.0,1205.0,778.0,1020.0,1064.0,795.0,1210.0,784.0,981.0,787.0,1011.0,982.0,829.0,809.0,1359.0,909.0,836.0,808.0,1345.0,1126.0,818.0,938.0,758.0,1000.0
ArUcoTag#28,937.0,0.0,3901.0,3368.0,5145.0,3101.0,4997.0,2535.0,2116.0,3347.0,3611.0,3115.0,3076.0,2850.0,2610.0,2999.0,1946.0,3428.0,1751.0,2283.0,2301.0,2431.0,2699.0,2093.0,3117.0,2043.0,2846.0,3399.0,6095.0,5648.0,4093.0,4362.0,3791.0,3868.0,4279.0,4730.0,5100.0,3206.0,3159.0,4031.0,3878.0,3750.0,2679.0,4344.0,3621.0,3146.0,3096.0,4119.0,3400.0,4547.0,3928.0
ArUcoTag#37,1124.0,3901.0,0.0,3521.0,3180.0,2567.0,3084.0,3609.0,2164.0,3175.0,5117.0,2159.0,3000.0,3495.0,3447.0,2663.0,2169.0,3174.0,1788.0,3168.0,1829.0,1445.0,2697.0,1898.0,2670.0,1934.0,4815.0,4083.0,4854.0,4267.0,4625.0,4755.0,3222.0,3778.0,4431.0,5934.0,3371.0,3270.0,3951.0,3346.0,2592.0,3210.0,2843.0,3201.0,3379.0,2485.0,3465.0,3320.0,2667.0,3716.0,2993.0
ArUcoTag#43,1035.0,3368.0,3521.0,0.0,2695.0,2965.0,3244.0,2962.0,2952.0,2531.0,2954.0,2385.0,3135.0,2758.0,4147.0,3623.0,1988.0,5752.0,2009.0,2571.0,2487.0,2321.0,2391.0,1885.0,2263.0,1973.0,3961.0,2677.0,4622.0,4272.0,3189.0,5093.0,4060.0,3947.0,4061.0,4495.0,4176.0,4662.0,3505.0,3508.0,3149.0,2778.0,2617.0,3522.0,3253.0,3089.0,3204.0,4141.0,2888.0,3762.0,4878.0
ArUcoTag#23,807.0,5145.0,3180.0,2695.0,0.0,3342.0,3506.0,2689.0,2478.0,3330.0,2700.0,2348.0,2434.0,2622.0,2280.0,2822.0,1862.0,1998.0,1646.0,2422.0,3126.0,6035.0,2395.0,2978.0,3080.0,2024.0,3654.0,4003.0,5576.0,4237.0,3975.0,4386.0,4035.0,4196.0,4698.0,2376.0,4595.0,3338.0,3010.0,2499.0,3213.0,3261.0,3387.0,3926.0,4489.0,2828.0,3007.0,3138.0,2956.0,3604.0,4062.0
ArUcoTag#20,684.0,3101.0,2567.0,2965.0,3342.0,0.0,2809.0,3378.0,3446.0,1831.0,2568.0,2892.0,3208.0,2925.0,2180.0,3234.0,3321.0,2364.0,2052.0,2838.0,2426.0,1972.0,2061.0,3085.0,2305.0,2593.0,3068.0,4063.0,2999.0,5254.0,4424.0,4184.0,4327.0,3423.0,3926.0,2766.0,3454.0,2900.0,3896.0,3512.0,3007.0,3925.0,3336.0,2685.0,3181.0,2511.0,3931.0,4070.0,3577.0,6054.0,3665.0
ArUcoTag#4,877.0,4997.0,3084.0,3244.0,3506.0,2809.0,0.0,3341.0,2839.0,2324.0,3769.0,2730.0,3153.0,3190.0,3058.0,2654.0,2228.0,2321.0,1346.0,2210.0,2413.0,1607.0,2674.0,1909.0,2294.0,2037.0,3129.0,2907.0,4382.0,5949.0,4195.0,4466.0,3701.0,4479.0,4490.0,2497.0,3501.0,4569.0,4326.0,3445.0,3449.0,3316.0,2638.0,2803.0,3379.0,3203.0,3289.0,3796.0,3615.0,4560.0,4671.0
ArUcoTag#17,885.0,2535.0,3609.0,2962.0,2689.0,3378.0,3341.0,0.0,3121.0,1725.0,3907.0,2379.0,2678.0,3568.0,3191.0,3357.0,2170.0,3103.0,1492.0,2103.0,2653.0,2194.0,2682.0,2228.0,3421.0,2698.0,3420.0,3506.0,3603.0,3384.0,3532.0,4464.0,3913.0,4132.0,4182.0,4099.0,3367.0,3114.0,3924.0,3471.0,3242.0,2977.0,3447.0,2992.0,2937.0,2222.0,3886.0,2992.0,4839.0,4328.0,3456.0
ArUcoTag#53,1088.0,2116.0,2164.0,2952.0,2478.0,3446.0,2839.0,3121.0,0.0,1766.0,2383.0,2081.0,2452.0,2786.0,3102.0,1911.0,2427.0,2238.0,1526.0,2047.0,2348.0,2005.0,3040.0,2563.0,3194.0,2255.0,2049.0,3446.0,3903.0,3541.0,3702.0,2747.0,3404.0,3383.0,4139.0,3021.0,3866.0,3811.0,3764.0,3259.0,3467.0,2913.0,3592.0,2139.0,2821.0,2763.0,2928.0,5709.0,4490.0,4288.0,4481.0
ArUcoTag#21,751.0,3347.0,3175.0,2531.0,3330.0,1831.0,2324.0,1725.0,1766.0,0.0,3055.0,2707.0,2213.0,2522.0,2214.0,2123.0,1850.0,1746.0,2082.0,2552.0,2373.0,1777.0,1959.0,1669.0,2413.0,1744.0,2530.0,3103.0,5587.0,3292.0,2865.0,2884.0,5994.0,3715.0,3523.0,3599.0,3345.0,3017.0,2371.0,2309.0,3360.0,3204.0,2591.0,3622.0,2654.0,1991.0,1922.0,1970.0,2218.0,2606.0,2344.0
ArUcoTag#22,602.0,3611.0,5117.0,2954.0,2700.0,2568.0,3769.0,3907.0,2383.0,3055.0,0.0,2336.0,2527.0,3141.0,3211.0,2131.0,2214.0,2543.0,1955.0,2330.0,2687.0,2547.0,2488.0,2061.0,2362.0,2096.0,3598.0,3000.0,5717.0,3458.0,3677.0,4059.0,4132.0,4926.0,3967.0,5397.0,3778.0,3331.0,3292.0,2923.0,2772.0,2785.0,2443.0,3126.0,2822.0,3049.0,2524.0,3557.0,3342.0,3745.0,2695.0
