,ArUcoTag#24,ArUcoTag#61,ArUcoTag#20,ArUcoTag#49,ArUcoTag#50,ArUcoTag#12,ArUcoTag#13,ArUcoTag#10,ArUcoTag#31,ArUcoTag#52,ArUcoTag#54,ArUcoTag#18,ArUcoTag#45,ArUcoTag#6,ArUcoTag#17,ArUcoTag#9,ArUcoTag#48,ArUcoTag#55,ArUcoTag#19,ArUcoTag#42,ArUcoTag#53,ArUcoTag#35,ArUcoTag#30,ArUcoTag#4,ArUcoTag#21,ArUcoTag#43,ArUcoTag#1,ArUcoTag#47,ArUcoTag#8,ArUcoTag#5,ArUcoTag#37,ArUcoTag#22,ArUcoTag#36,ArUcoTag#23,ArUcoTag#60,ArUcoTag#33,ArUcoTag#46,ArUcoTag#39,ArUcoTag#25,ArUcoTag#56,ArUcoTag#59,ArUcoTag#11,ArUcoTag#15,ArUcoTag#51,ArUcoTag#41,ArUcoTag#34,ArUcoTag#38,ArUcoTag#3,ArUcoTag#44,ArUcoTag#7
ArUcoTag#24,0.0,9449.0,8907.0,11556.0,11358.0,9064.0,11664.0,8932.0,8963.0,11018.0,8344.0,7452.0,5791.0,5120.0,4956.0,5467.0,7510.0,7117.0,6783.0,8687.0,7082.0,9527.0,9585.0,8431.0,8328.0,9273.0,5500.0,5007.0,4572.0,6135.0,6507.0,7320.0,6708.0,5046.0,5664.0,13751.0,15608.0,14958.0,14500.0,13494.0,13026.0,12686.0,16450.0,14625.0,25486.0,19572.0,22178.0,18491.0,15778.0,19319.0
ArUcoTag#61,9449.0,0.0,2158.0,2792.0,2311.0,2743.0,3033.0,2744.0,2241.0,2758.0,2761.0,4883.0,2566.0,3133.0,2437.0,2399.0,4295.0,2643.0,3363.0,3343.0,2868.0,6868.0,2196.0,3517.0,3605.0,2959.0,1946.0,2618.0,5607.0,4005.0,2545.0,5486.0,3541.0,4071.0,2596.0,3549.0,2665.0,2630.0,3638.0,3078.0,3425.0,2716.0,4053.0,3386.0,4436.0,3636.0,3014.0,4130.0,3448.0,1889.0
ArUcoTag#20,8907.0,2158.0,0.0,3100.0,2904.0,4071.0,2445.0,3101.0,3148.0,4353.0,6730.0,4980.0,4216.0,4021.0,3025.0,3413.0,3445.0,4270.0,4302.0,4933.0,3585.0,3298.0,3088.0,3955.0,4513.0,3145.0,3279.0,2697.0,1828.0,1440.0,1923.0,2710.0,2808.0,3023.0,2880.0,4405.0,3312.0,3342.0,3779.0,5071.0,3653.0,3988.0,5098.0,3212.0,3418.0,3260.0,3376.0,2621.0,2754.0,3222.0
ArUcoTag#49,11556.0,2792.0,3100.0,0.0,3563.0,2941.0,2985.0,3081.0,3151.0,3265.0,3667.0,5059.0,4477.0,3268.0,3130.0,3140.0,2532.0,2366.0,2960.0,2932.0,3239.0,3798.0,3900.0,3510.0,2897.0,3510.0,2747.0,2471.0,2700.0,2207.0,2682.0,2209.0,3077.0,3701.0,3268.0,3792.0,3854.0,4132.0,2873.0,3110.0,3872.0,3206.0,4580.0,3122.0,4253.0,4215.0,3411.0,3790.0,2491.0,2090.0
ArUcoTag#50,11358.0,2311.0,2904.0,3563.0,0.0,2922.0,3154.0,3445.0,3115.0,4399.0,3753.0,4376.0,4082.0,3589.0,4118.0,2791.0,3017.0,3424.0,2582.0,4024.0,2430.0,3275.0,2986.0,3672.0,3721.0,3737.0,2832.0,2670.0,2852.0,1596.0,1818.0,2815.0,2649.0,2957.0,3279.0,3758.0,3838.0,4042.0,3156.0,4037.0,3701.0,3593.0,4262.0,2614.0,3123.0,3144.0,4190.0,2193.0,3066.0,2169.0
ArUcoTag#12,9064.0,2743.0,4071.0,2941.0,2922.0,0.0,3108.0,3161.0,3896.0,3181.0,2929.0,3547.0,3464.0,3366.0,3437.0,2687.0,2661.0,3658.0,2989.0,3045.0,3744.0,2668.0,3096.0,4458.0,3889.0,3217.0,3009.0,3187.0,3000.0,1571.0,2063.0,2804.0,2704.0,3202.0,2909.0,3477.0,3357.0,2898.0,3434.0,3645.0,4026.0,3193.0,3593.0,3181.0,3572.0,3512.0,3588.0,2997.0,3402.0,3141.0
ArUcoTag#13,11664.0,3033.0,2445.0,2985.0,3154.0,3108.0,0.0,2429.0,2308.0,2756.0,3420.0,3060.0,4215.0,2920.0,3333.0,2541.0,3247.0,3190.0,2617.0,2722.0,2054.0,3707.0,3108.0,4875.0,2897.0,2921.0,2294.0,2387.0,2889.0,1577.0,1986.0,2819.0,2724.0,2517.0,2734.0,3090.0,3213.0,2498.0,2931.0,3044.0,2801.0,3011.0,3275.0,3040.0,2644.0,2460.0,3363.0,3077.0,4354.0,2184.0
ArUcoTag#10,8932.0,2744.0,3101.0,3081.0,3445.0,3161.0,2429.0,0.0,3015.0,3390.0,3351.0,2880.0,3233.0,3157.0,3225.0,3881.0,2462.0,3070.0,3098.0,2542.0,2714.0,2111.0,2509.0,2610.0,3364.0,3428.0,4075.0,3273.0,2889.0,1360.0,2217.0,2302.0,2295.0,2088.0,2300.0,3489.0,3203.0,2611.0,2951.0,2925.0,3273.0,3629.0,3669.0,3995.0,2505.0,2316.0,3020.0,3375.0,2808.0,2179.0
ArUcoTag#31,8963.0,2241.0,3148.0,3151.0,3115.0,3896.0,2308.0,3015.0,0.0,4525.0,2959.0,3359.0,3537.0,3058.0,3015.0,3623.0,2869.0,3341.0,3302.0,3619.0,3042.0,2519.0,2972.0,3451.0,3556.0,3857.0,2873.0,1970.0,1950.0,1458.0,2101.0,2786.0,2739.0,2626.0,3283.0,4180.0,3099.0,3159.0,3101.0,3154.0,3972.0,3419.0,4185.0,3107.0,3382.0,3695.0,3188.0,3133.0,2218.0,2084.0
ArUcoTag#52,11018.0,2758.0,4353.0,3265.0,4399.0,3181.0,2756.0,3390.0,4525.0,0.0,3224.0,3719.0,3388.0,4041.0,3554.0,3910.0,3441.0,4889.0,3969.0,3799.0,3351.0,2753.0,5629.0,3481.0,5016.0,3868.0,2444.0,2315.0,2149.0,2199.0,2165.0,4105.0,3380.0,2937.0,2531.0,4279.0,3399.0,3820.0,5055.0,3676.0,3511.0,5019.0,4150.0,3237.0,3228.0,2860.0,3305.0,2920.0,2153.0,2329.0
