,ArUcoTag#32,ArUcoTag#38,ArUcoTag#7,ArUcoTag#4,ArUcoTag#34,ArUcoTag#5,ArUcoTag#24,ArUcoTag#6,ArUcoTag#29,ArUcoTag#26,ArUcoTag#46,ArUcoTag#49,ArUcoTag#18,ArUcoTag#35,ArUcoTag#10,ArUcoTag#51,ArUcoTag#58,ArUcoTag#11,ArUcoTag#20,ArUcoTag#2,ArUcoTag#47,ArUcoTag#42,ArUcoTag#44,ArUcoTag#9,ArUcoTag#50,ArUcoTag#30,ArUcoTag#39,ArUcoTag#40,ArUcoTag#59,ArUcoTag#25,ArUcoTag#28,ArUcoTag#16,ArUcoTag#57,ArUcoTag#48,ArUcoTag#3,ArUcoTag#37,ArUcoTag#55,ArUcoTag#13,ArUcoTag#22,ArUcoTag#31,ArUcoTag#21,ArUcoTag#27,ArUcoTag#19,ArUcoTag#15,ArUcoTag#8,ArUcoTag#14,ArUcoTag#60,ArUcoTag#12,ArUcoTag#23,ArUcoTag#43
ArUcoTag#32,0.0,1760.0,1761.0,2011.0,2253.0,1849.0,2438.0,3055.0,2223.0,2520.0,2650.0,2611.0,2318.0,2393.0,2072.0,2336.0,2239.0,2246.0,1623.0,2144.0,2520.0,2672.0,2007.0,1659.0,2267.0,2362.0,3279.0,2371.0,2073.0,2466.0,2046.0,2301.0,2019.0,2299.0,1963.0,2446.0,2199.0,2390.0,1767.0,2050.0,3392.0,3770.0,3442.0,2970.0,2332.0,2485.0,2454.0,2098.0,2977.0,3096.0
ArUcoTag#38,1760.0,0.0,2622.0,3263.0,2735.0,3466.0,2590.0,3053.0,2027.0,2582.0,3000.0,1991.0,2820.0,2668.0,2279.0,2427.0,2847.0,2738.0,2072.0,2208.0,2622.0,1981.0,2432.0,2245.0,2642.0,2815.0,2403.0,1888.0,2639.0,2770.0,3777.0,1990.0,2318.0,2471.0,2413.0,2276.0,2351.0,2609.0,2597.0,3492.0,2839.0,2117.0,2944.0,2170.0,3430.0,2658.0,2276.0,2488.0,3335.0,2674.0
ArUcoTag#7,1761.0,2622.0,0.0,2736.0,2630.0,3097.0,2865.0,2920.0,2498.0,2954.0,2716.0,2786.0,2496.0,2862.0,2872.0,3052.0,2483.0,3225.0,2470.0,2269.0,2204.0,2636.0,2137.0,2383.0,3054.0,2894.0,3195.0,2160.0,3515.0,3408.0,3004.0,2811.0,3141.0,2263.0,2937.0,2894.0,3128.0,2789.0,2805.0,3252.0,2790.0,2323.0,3066.0,2689.0,3247.0,2870.0,2733.0,2666.0,3002.0,3281.0
ArUcoTag#4,2011.0,3263.0,2736.0,0.0,2038.0,3648.0,3133.0,3806.0,2589.0,3230.0,3133.0,2081.0,3001.0,2709.0,3432.0,3709.0,2365.0,3676.0,2195.0,3438.0,3237.0,4699.0,2450.0,2482.0,3987.0,2622.0,3037.0,3036.0,3998.0,3776.0,2857.0,2322.0,2698.0,3236.0,2777.0,2822.0,2910.0,4654.0,4391.0,3295.0,3108.0,2946.0,3638.0,3672.0,3394.0,3318.0,4164.0,3147.0,3873.0,3594.0
ArUcoTag#34,2253.0,2735.0,2630.0,2038.0,0.0,2515.0,2490.0,2923.0,3980.0,3119.0,2764.0,3314.0,2543.0,3132.0,4331.0,3421.0,4930.0,2964.0,2458.0,3179.0,2843.0,2715.0,2702.0,2545.0,2637.0,3242.0,3209.0,3371.0,2869.0,3283.0,2648.0,2832.0,2904.0,2751.0,2430.0,2864.0,2976.0,4535.0,2983.0,3502.0,4882.0,3422.0,3272.0,3193.0,3417.0,3261.0,3271.0,4097.0,4682.0,3425.0
ArUcoTag#5,1849.0,3466.0,3097.0,3648.0,2515.0,0.0,2807.0,3094.0,2531.0,2697.0,3128.0,3276.0,2296.0,3405.0,2809.0,3838.0,2892.0,3822.0,2825.0,2641.0,2399.0,3208.0,2334.0,3141.0,2979.0,3417.0,3882.0,2974.0,3372.0,3627.0,2883.0,2690.0,3304.0,4156.0,3344.0,3283.0,3650.0,3696.0,3736.0,3871.0,3740.0,2941.0,2980.0,3603.0,2812.0,3783.0,3498.0,4234.0,4783.0,3030.0
ArUcoTag#24,2438.0,2590.0,2865.0,3133.0,2490.0,2807.0,0.0,2878.0,2517.0,2964.0,2997.0,3148.0,2179.0,3124.0,3160.0,2990.0,2606.0,2419.0,2673.0,2405.0,3385.0,2810.0,3014.0,2520.0,3130.0,3212.0,2659.0,2805.0,3010.0,2940.0,3065.0,1905.0,2450.0,2570.0,3187.0,3143.0,3250.0,2452.0,3228.0,3440.0,3423.0,2377.0,3198.0,3354.0,3124.0,3302.0,3490.0,4303.0,3229.0,2988.0
ArUcoTag#6,3055.0,3053.0,2920.0,3806.0,2923.0,3094.0,2878.0,0.0,5041.0,4043.0,5022.0,6011.0,3485.0,3845.0,3969.0,3842.0,3545.0,3244.0,3073.0,3507.0,3509.0,3134.0,4671.0,3524.0,3999.0,4698.0,4763.0,3994.0,3986.0,4566.0,4400.0,3025.0,3319.0,3807.0,4318.0,3555.0,4103.0,5741.0,5692.0,3679.0,5582.0,5081.0,5029.0,6635.0,8761.0,5451.0,4323.0,4264.0,5770.0,6739.0
ArUcoTag#29,2223.0,2027.0,2498.0,2589.0,3980.0,2531.0,2517.0,5041.0,0.0,3192.0,4057.0,4692.0,2962.0,3438.0,5225.0,3822.0,3359.0,2307.0,3310.0,2791.0,2905.0,2524.0,3115.0,2806.0,3862.0,3663.0,3763.0,3445.0,3129.0,4015.0,4894.0,3407.0,2820.0,2997.0,3950.0,3614.0,3736.0,8017.0,3944.0,4080.0,6312.0,5361.0,4416.0,5643.0,6275.0,4822.0,3834.0,3733.0,5160.0,7356.0
ArUcoTag#26,2520.0,2582.0,2954.0,3230.0,3119.0,2697.0,2964.0,4043.0,3192.0,0.0,4564.0,4148.0,3939.0,3580.0,4368.0,3445.0,3430.0,3585.0,3165.0,2801.0,3145.0,2731.0,3304.0,3414.0,3631.0,3793.0,3109.0,3913.0,3217.0,4309.0,4418.0,3410.0,3647.0,3832.0,4232.0,3140.0,3116.0,3765.0,3412.0,4094.0,9276.0,7686.0,6021.0,6414.0,6690.0,5775.0,6014.0,4053.0,7910.0,9649.0
ArUcoTag#46,2650.0,3000.0,2716.0,3133.0,2764.0,3128.0,2997.0,5022.0,4057.0,4564.0,0.0,4617.0,3601.0,4470.0,3554.0,4329.0,3975.0,3864.0,3416.0,3222.0,3531.0,3794.0,3571.0,4122.0,5746.0,4002.0,4028.0,3329.0,3795.0,4480.0,4145.0,2891.0,3900.0,3943.0,3789.0,3953.0,3844.0,5499.0,3947.0,4029.0,8591.0,6612.0,6397.0,5958.0,6869.0,4953.0,4905.0,4314.0,9152.0,7320.0
ArUcoTag#49,2611.0,1991.0,2786.0,2081.0,3314.0,3276.0,3148.0,6011.0,4692.0,4148.0,4617.0,0.0,2995.0,3492.0,4959.0,4702.0,3341.0,2729.0,3601.0,4564.0,3014.0,3688.0,3903.0,3654.0,5163.0,4146.0,3591.0,2841.0,3798.0,3780.0,3549.0,3214.0,3082.0,3562.0,4225.0,4637.0,3952.0,4391.0,4082.0,4410.0,8980.0,6466.0,5870.0,5511.0,6330.0,5133.0,5289.0,5765.0,7457.0,7645.0
ArUcoTag#18,2318.0,2820.0,2496.0,3001.0,2543.0,2296.0,2179.0,3485.0,2962.0,3939.0,3601.0,2995.0,0.0,3247.0,2704.0,3492.0,2241.0,3097.0,2466.0,2214.0,2642.0,3650.0,3300.0,3267.0,3213.0,3257.0,3784.0,4137.0,2788.0,3395.0,3334.0,3001.0,2513.0,2930.0,2498.0,3157.0,2498.0,3443.0,3574.0,3621.0,8243.0,6152.0,5321.0,4876.0,4423.0,4119.0,3913.0,4347.0,7233.0,6522.0
ArUcoTag#35,2393.0,2668.0,2862.0,2709.0,3132.0,3405.0,3124.0,3845.0,3438.0,3580.0,4470.0,3492.0,3247.0,0.0,3381.0,3375.0,3402.0,3231.0,3717.0,2839.0,3376.0,3001.0,2449.0,3048.0,3420.0,4364.0,3523.0,3470.0,2778.0,3841.0,3320.0,3426.0,4014.0,3443.0,3679.0,3219.0,3237.0,3806.0,4444.0,4473.0,7404.0,8309.0,5120.0,4917.0,4239.0,3684.0,4478.0,4943.0,7210.0,5438.0
ArUcoTag#10,2072.0,2279.0,2872.0,3432.0,4331.0,2809.0,3160.0,3969.0,5225.0,4368.0,3554.0,4959.0,2704.0,3381.0,0.0,4804.0,3664.0,3183.0,3145.0,2830.0,3090.0,2658.0,3064.0,3345.0,5526.0,4009.0,4300.0,3504.0,4226.0,3467.0,2852.0,4749.0,3969.0,3934.0,4599.0,3502.0,4046.0,4351.0,3562.0,5343.0,9692.0,4714.0,4478.0,4904.0,6620.0,5888.0,5197.0,4861.0,6115.0,6897.0
