,ArUcoTag#13,ArUcoTag#16,ArUcoTag#56,ArUcoTag#49,ArUcoTag#19,ArUcoTag#61,ArUcoTag#32,ArUcoTag#48,ArUcoTag#6,ArUcoTag#15,ArUcoTag#23,ArUcoTag#44,ArUcoTag#53,ArUcoTag#5,ArUcoTag#51,ArUcoTag#27,ArUcoTag#18,ArUcoTag#40,ArUcoTag#17,ArUcoTag#4,ArUcoTag#39,ArUcoTag#36,ArUcoTag#55,ArUcoTag#14,ArUcoTag#30,ArUcoTag#33,ArUcoTag#46,ArUcoTag#20,ArUcoTag#38,ArUcoTag#11,ArUcoTag#12,ArUcoTag#25,ArUcoTag#21,ArUcoTag#57,ArUcoTag#59,ArUcoTag#3,ArUcoTag#2,ArUcoTag#28,ArUcoTag#58,ArUcoTag#41,ArUcoTag#43,ArUcoTag#47,ArUcoTag#29,ArUcoTag#9,ArUcoTag#50,ArUcoTag#7,ArUcoTag#10,ArUcoTag#26,ArUcoTag#42,ArUcoTag#52
ArUcoTag#13,0.0,1129.0,2909.0,2963.0,4602.0,5167.0,3554.0,3935.0,3603.0,5095.0,3774.0,7904.0,6462.0,5226.0,5935.0,4742.0,6340.0,6632.0,5056.0,4777.0,3921.0,6665.0,5553.0,5884.0,5025.0,6139.0,4651.0,5040.0,3584.0,5371.0,7684.0,6769.0,6256.0,6924.0,6283.0,5660.0,6609.0,5355.0,7541.0,10211.0,9087.0,6959.0,8170.0,7654.0,12613.0,9420.0,6371.0,6345.0,8194.0,9499.0
ArUcoTag#16,1129.0,0.0,2394.0,1405.0,1140.0,888.0,1596.0,1496.0,1601.0,2048.0,934.0,1515.0,1578.0,2007.0,1880.0,1677.0,2196.0,1707.0,943.0,1858.0,1352.0,1980.0,1179.0,2120.0,1668.0,1702.0,1864.0,2987.0,2330.0,1884.0,1907.0,2114.0,1693.0,2296.0,1531.0,1429.0,1677.0,2182.0,2190.0,1361.0,1038.0,1199.0,1078.0,2035.0,1687.0,1385.0,2419.0,2864.0,1425.0,1430.0
ArUcoTag#56,2909.0,2394.0,0.0,1557.0,1295.0,1224.0,1952.0,2197.0,1670.0,1978.0,2343.0,1740.0,2233.0,1614.0,1670.0,2820.0,2291.0,2210.0,1971.0,1940.0,2021.0,3015.0,1308.0,2192.0,2088.0,1975.0,2182.0,2402.0,1743.0,2023.0,2149.0,2044.0,3232.0,2676.0,2233.0,2419.0,2058.0,1727.0,2093.0,2028.0,1833.0,2201.0,2131.0,1611.0,2446.0,3046.0,2339.0,3017.0,6610.0,3044.0
ArUcoTag#49,2963.0,1405.0,1557.0,0.0,1867.0,1119.0,2466.0,2107.0,3846.0,2443.0,3261.0,1736.0,2385.0,2305.0,2098.0,2062.0,1949.0,2760.0,2751.0,1816.0,1846.0,2801.0,1761.0,3289.0,3017.0,2117.0,2344.0,2833.0,3367.0,2240.0,2447.0,4587.0,2306.0,2385.0,2025.0,2074.0,2560.0,2242.0,2063.0,2070.0,1713.0,2970.0,2008.0,1660.0,2693.0,3894.0,2740.0,2487.0,2161.0,2558.0
ArUcoTag#19,4602.0,1140.0,1295.0,1867.0,0.0,1814.0,1808.0,1321.0,1876.0,1665.0,2149.0,2224.0,2280.0,1778.0,2313.0,1850.0,1888.0,2270.0,2301.0,2360.0,1878.0,2412.0,2530.0,2008.0,2334.0,2281.0,2709.0,2520.0,1815.0,2238.0,1703.0,1911.0,2297.0,2086.0,2464.0,1963.0,2153.0,1974.0,2170.0,2325.0,1814.0,2469.0,3228.0,2218.0,2888.0,2420.0,2358.0,2465.0,2359.0,2034.0
ArUcoTag#61,5167.0,888.0,1224.0,1119.0,1814.0,0.0,1293.0,1832.0,1520.0,1681.0,2238.0,2496.0,2022.0,1706.0,1815.0,2218.0,2083.0,1530.0,2022.0,1592.0,2133.0,2582.0,1895.0,1933.0,2828.0,1879.0,2404.0,2178.0,2542.0,2874.0,1714.0,2255.0,2119.0,2637.0,2025.0,2450.0,2287.0,2433.0,2385.0,2415.0,2375.0,3200.0,3519.0,3095.0,2601.0,3642.0,2957.0,2288.0,2387.0,2735.0
ArUcoTag#32,3554.0,1596.0,1952.0,2466.0,1808.0,1293.0,0.0,2040.0,2157.0,2876.0,2092.0,2273.0,2573.0,2616.0,2529.0,2544.0,2541.0,2546.0,2218.0,2728.0,2183.0,2804.0,2456.0,2861.0,2006.0,2630.0,2314.0,3099.0,2822.0,1903.0,2856.0,2896.0,2644.0,2344.0,2181.0,4020.0,2647.0,3491.0,3121.0,2226.0,2160.0,2601.0,2305.0,2109.0,3114.0,2034.0,3920.0,3006.0,2447.0,2750.0
ArUcoTag#48,3935.0,1496.0,2197.0,2107.0,1321.0,1832.0,2040.0,0.0,2268.0,2480.0,2740.0,2628.0,2526.0,2280.0,2285.0,3160.0,2351.0,1989.0,1885.0,1923.0,3512.0,2159.0,1960.0,2540.0,2878.0,2581.0,2676.0,2887.0,2585.0,2510.0,2311.0,2518.0,3014.0,2393.0,2340.0,2374.0,3001.0,3742.0,3125.0,2803.0,2193.0,2606.0,2603.0,3282.0,2575.0,3708.0,3534.0,2685.0,2673.0,2759.0
ArUcoTag#6,3603.0,1601.0,1670.0,3846.0,1876.0,1520.0,2157.0,2268.0,0.0,2223.0,3171.0,2037.0,2501.0,3430.0,2941.0,1974.0,2455.0,2557.0,2717.0,3297.0,4407.0,2810.0,2597.0,2741.0,3081.0,3552.0,2116.0,3759.0,3194.0,1991.0,3571.0,3349.0,3401.0,2766.0,2656.0,2317.0,2626.0,2185.0,2290.0,2643.0,2799.0,2244.0,1967.0,2057.0,4705.0,2809.0,3670.0,3102.0,2036.0,2971.0
ArUcoTag#15,5095.0,2048.0,1978.0,2443.0,1665.0,1681.0,2876.0,2480.0,2223.0,0.0,1987.0,2457.0,2686.0,2319.0,2739.0,2970.0,2917.0,2538.0,1851.0,3207.0,2451.0,2247.0,3081.0,3741.0,2731.0,3348.0,3867.0,3850.0,3926.0,2891.0,3178.0,2950.0,3246.0,3202.0,3054.0,3979.0,3314.0,3837.0,2780.0,2740.0,2534.0,4258.0,2890.0,3006.0,3261.0,4795.0,4964.0,5774.0,3359.0,3716.0
ArUcoTag#23,3774.0,934.0,2343.0,3261.0,2149.0,2238.0,2092.0,2740.0,3171.0,1987.0,0.0,2177.0,2224.0,2243.0,2594.0,2529.0,2683.0,1946.0,2526.0,2091.0,1945.0,2637.0,3098.0,3012.0,2520.0,3026.0,3696.0,3429.0,3265.0,3031.0,3272.0,2894.0,3700.0,2601.0,2874.0,3105.0,3347.0,3215.0,4283.0,2379.0,2940.0,3489.0,2244.0,3503.0,2889.0,3684.0,3330.0,3545.0,3489.0,3322.0
ArUcoTag#44,7904.0,1515.0,1740.0,1736.0,2224.0,2496.0,2273.0,2628.0,2037.0,2457.0,2177.0,0.0,2498.0,2517.0,2348.0,2935.0,2356.0,2464.0,1859.0,2394.0,2535.0,2630.0,2938.0,3439.0,3350.0,2640.0,3891.0,2868.0,2336.0,2919.0,3101.0,2497.0,2290.0,3184.0,3042.0,3450.0,3323.0,2763.0,3016.0,3422.0,3460.0,4073.0,3421.0,3763.0,3145.0,4102.0,4089.0,2985.0,3397.0,2907.0
ArUcoTag#53,6462.0,1578.0,2233.0,2385.0,2280.0,2022.0,2573.0,2526.0,2501.0,2686.0,2224.0,2498.0,0.0,2867.0,3465.0,3126.0,2122.0,2862.0,1870.0,3316.0,3841.0,2788.0,3040.0,3443.0,3627.0,2713.0,3603.0,3197.0,3031.0,3604.0,3353.0,4384.0,3444.0,3913.0,3695.0,3099.0,3545.0,3082.0,3679.0,3005.0,3104.0,3759.0,3378.0,3447.0,3969.0,4296.0,3822.0,4792.0,3799.0,2666.0
