,ArUcoTag#13,ArUcoTag#38,ArUcoTag#33,ArUcoTag#29,ArUcoTag#3,ArUcoTag#39,ArUcoTag#49,ArUcoTag#46,ArUcoTag#59,ArUcoTag#36,ArUcoTag#48,ArUcoTag#2,ArUcoTag#41,ArUcoTag#42,ArUcoTag#25,ArUcoTag#35,ArUcoTag#15,ArUcoTag#23,ArUcoTag#37,ArUcoTag#52,ArUcoTag#8,ArUcoTag#9,ArUcoTag#30,ArUcoTag#21,ArUcoTag#50,ArUcoTag#24,ArUcoTag#32,ArUcoTag#4,ArUcoTag#54,ArUcoTag#14,ArUcoTag#40,ArUcoTag#18,ArUcoTag#57,ArUcoTag#7,ArUcoTag#51,ArUcoTag#11,ArUcoTag#22,ArUcoTag#53,ArUcoTag#20,ArUcoTag#26,ArUcoTag#17,ArUcoTag#58,ArUcoTag#60,ArUcoTag#19,ArUcoTag#45,ArUcoTag#10,ArUcoTag#47,ArUcoTag#5,ArUcoTag#12,ArUcoTag#55
ArUcoTag#13,0.0,3892.0,3400.0,6121.0,4383.0,4093.0,3972.0,3293.0,3730.0,4091.0,7005.0,3694.0,4717.0,3479.0,6433.0,4034.0,5537.0,5838.0,3565.0,6313.0,4408.0,4148.0,2237.0,4676.0,4168.0,4048.0,5286.0,4079.0,3243.0,3041.0,3880.0,3458.0,4466.0,3378.0,4831.0,4205.0,6255.0,3907.0,4939.0,4916.0,4024.0,3345.0,4147.0,3644.0,6655.0,4102.0,3141.0,4821.0,4201.0,4980.0
ArUcoTag#38,3892.0,0.0,4456.0,5334.0,4439.0,7293.0,3906.0,3452.0,3810.0,4037.0,8283.0,5818.0,7455.0,6136.0,5268.0,5085.0,6743.0,4424.0,5247.0,5752.0,5542.0,3824.0,2628.0,5634.0,4431.0,5667.0,5963.0,4838.0,4834.0,4259.0,5044.0,5177.0,4994.0,7075.0,3720.0,5177.0,5622.0,5165.0,4880.0,5413.0,4658.0,3353.0,4449.0,4210.0,6226.0,3628.0,3510.0,3960.0,4742.0,3438.0
ArUcoTag#33,3400.0,4456.0,0.0,2708.0,3173.0,4103.0,4154.0,3146.0,3222.0,3424.0,3978.0,6433.0,3724.0,5046.0,4073.0,3216.0,4536.0,4109.0,3547.0,4155.0,3683.0,4120.0,1843.0,3018.0,3371.0,3057.0,4060.0,3065.0,3339.0,2740.0,5346.0,4269.0,3475.0,3072.0,4607.0,3112.0,4018.0,3150.0,3852.0,2716.0,3116.0,2794.0,2890.0,3010.0,3776.0,1806.0,2119.0,4153.0,3040.0,2926.0
ArUcoTag#29,6121.0,5334.0,2708.0,0.0,4700.0,6541.0,3995.0,2593.0,2889.0,6230.0,6079.0,5865.0,4860.0,8937.0,5651.0,4760.0,5246.0,4181.0,4592.0,6528.0,5259.0,5732.0,2153.0,3753.0,4291.0,4146.0,3544.0,4516.0,3503.0,3565.0,4028.0,6036.0,5525.0,6825.0,4598.0,3082.0,4876.0,3352.0,6040.0,4393.0,3488.0,3069.0,3870.0,4994.0,4518.0,3160.0,4273.0,6921.0,5851.0,3642.0
ArUcoTag#3,4383.0,4439.0,3173.0,4700.0,0.0,4854.0,3947.0,3959.0,3208.0,5650.0,5428.0,4211.0,5996.0,4737.0,9298.0,5703.0,5110.0,5628.0,5156.0,7334.0,5530.0,5789.0,1880.0,3935.0,3098.0,3926.0,6709.0,4768.0,4879.0,3617.0,5486.0,7138.0,5681.0,6251.0,5910.0,4144.0,7382.0,4083.0,6698.0,5096.0,5040.0,3183.0,4637.0,4905.0,4026.0,4324.0,3485.0,5464.0,5229.0,5690.0
ArUcoTag#39,4093.0,7293.0,4103.0,6541.0,4854.0,0.0,5217.0,4668.0,3573.0,5656.0,6396.0,5571.0,6238.0,7084.0,6921.0,6642.0,6237.0,6963.0,5629.0,7081.0,4304.0,4362.0,2115.0,4465.0,4625.0,4293.0,5646.0,5108.0,3729.0,4033.0,4937.0,6477.0,6853.0,5829.0,5850.0,4909.0,6496.0,4148.0,5542.0,4718.0,4139.0,3524.0,5239.0,7355.0,5473.0,4594.0,3694.0,5856.0,6399.0,4593.0
ArUcoTag#49,3972.0,3906.0,4154.0,3995.0,3947.0,5217.0,0.0,3408.0,4762.0,6217.0,6937.0,4809.0,4372.0,5421.0,6759.0,6201.0,8185.0,9399.0,6666.0,8090.0,4828.0,4655.0,3949.0,6507.0,6096.0,4890.0,5646.0,5882.0,4090.0,4193.0,6185.0,7139.0,6309.0,5781.0,8188.0,5855.0,6463.0,6282.0,7714.0,6465.0,5857.0,5301.0,5638.0,5632.0,6154.0,3975.0,6124.0,7470.0,6959.0,6972.0
ArUcoTag#46,3293.0,3452.0,3146.0,2593.0,3959.0,4668.0,3408.0,0.0,3576.0,5410.0,5066.0,3616.0,4397.0,3178.0,6787.0,5797.0,7315.0,4975.0,5851.0,6178.0,5577.0,4739.0,3267.0,4409.0,4090.0,4128.0,4202.0,4474.0,4005.0,3456.0,5055.0,5072.0,6871.0,5476.0,7329.0,4125.0,6538.0,4771.0,6052.0,5564.0,4968.0,4035.0,6321.0,5688.0,4333.0,5241.0,4384.0,7360.0,4977.0,5540.0
ArUcoTag#59,3730.0,3810.0,3222.0,2889.0,3208.0,3573.0,4762.0,3576.0,0.0,4581.0,5835.0,4137.0,4690.0,5000.0,6396.0,5167.0,5793.0,5878.0,6705.0,7143.0,5304.0,4237.0,4466.0,5200.0,4234.0,5783.0,5883.0,5252.0,6150.0,4574.0,4809.0,5080.0,5710.0,5514.0,8541.0,6182.0,8136.0,5652.0,6007.0,7748.0,6295.0,5599.0,6509.0,5131.0,5854.0,5906.0,5798.0,7785.0,7384.0,6726.0
ArUcoTag#36,4091.0,4037.0,3424.0,6230.0,5650.0,5656.0,6217.0,5410.0,4581.0,0.0,5367.0,6703.0,7435.0,5850.0,8920.0,7280.0,7686.0,6537.0,6540.0,7844.0,5941.0,5033.0,3112.0,6345.0,5450.0,7416.0,7253.0,5534.0,5068.0,4975.0,6522.0,6766.0,7318.0,6935.0,7574.0,5009.0,8808.0,6195.0,6735.0,7790.0,5685.0,5132.0,6103.0,5710.0,6294.0,5441.0,4644.0,7992.0,6126.0,6861.0
