feature,model_spec,term,estimate,std.error,statistic,p.value,wald_chi2,wald_df,wald_p,disp_contrast_estimate,disp_contrast_SE,disp_contrast_stat,disp_contrast_p
Between,Between ~ 1 + worker_v_infl + (1 | Trial) + (1 | Day_Zeit),(Intercept),0.02079243659486756,0.0014722932190956476,14.122483432776564,2.7608759500790047e-45,397.65415231356127,1,1.7848425632391383e-88,-0.7960528296140592,0.022765093406589953,-34.968133685918495,1.1180734837407272e-249
Between,Between ~ 1 + worker_v_infl + (1 | Trial) + (1 | Day_Zeit),worker_v_inflHub Bee,0.04840320229525089,0.0024272881412585215,19.941267570381807,1.784842563239242e-88,397.65415231356127,1,1.7848425632391383e-88,-0.7960528296140592,0.022765093406589953,-34.968133685918495,1.1180734837407272e-249
Close,Close ~ 1 + worker_v_infl + (1 | Trial) + (1 | Day_Zeit),(Intercept),88.31074528899853,10.818279101789068,8.163104728403077,3.2652116586418866e-16,702.9956782597633,1,6.6723098150993515e-155,-0.30188988204912254,0.023124535200238706,-13.054959999628716,1.452835903261929e-38
Close,Close ~ 1 + worker_v_infl + (1 | Trial) + (1 | Day_Zeit),worker_v_inflHub Bee,28.52778355089859,1.0759490418351916,26.514065668240384,6.672309815098889e-155,702.9956782597633,1,6.6723098150993515e-155,-0.30188988204912254,0.023124535200238706,-13.054959999628716,1.452835903261929e-38
Degree,Degree ~ 1 + worker_v_infl + (1 | Trial) + (1 | Day_Zeit),(Intercept),213.4555535725891,NA,NA,NA,865.1805010608994,1,3.64189518036791e-190,-0.562555156536088,0.022790576039152164,-24.683674320897758,8.854465328081183e-130
Degree,Degree ~ 1 + worker_v_infl + (1 | Trial) + (1 | Day_Zeit),worker_v_inflHub Bee,3007.9819711960317,102.26378607547889,29.413950789734102,3.6418951803678387e-190,865.1805010608994,1,3.64189518036791e-190,-0.562555156536088,0.022790576039152164,-24.683674320897758,8.854465328081183e-130
Initiation.Freq,Initiation.Freq ~ 1 + worker_v_infl + (1 | Trial) + (1 | Day_Zeit),(Intercept),0.5026631475238197,0.003611109296331884,139.19909542323134,0,76.57388647923888,1,2.121261445157478e-18,0.08772883601094275,0.022890973388155527,3.8324641998988245,1.2782319288611493e-4
Initiation.Freq,Initiation.Freq ~ 1 + worker_v_infl + (1 | Trial) + (1 | Day_Zeit),worker_v_inflHub Bee,-0.04125905704147478,0.004714970209380289,-8.750650631766696,2.121261445157479e-18,76.57388647923888,1,2.121261445157478e-18,0.08772883601094275,0.022890973388155527,3.8324641998988245,1.2782319288611493e-4
N90.Day4,N90.Day4 ~ 1 + worker_v_infl + (1 | Trial) + (1 | Day_Zeit),(Intercept),56.290070833502305,2.0775797763504795,27.094059864397906,1.1568450495597606e-161,462.4662628478614,1,1.3969889223477367e-102,0.3503190354550693,0.022879130847515184,15.31172830776988,3.4052057397164005e-52
N90.Day4,N90.Day4 ~ 1 + worker_v_infl + (1 | Trial) + (1 | Day_Zeit),worker_v_inflHub Bee,-13.426443052219094,0.6243396923247412,-21.505028780447176,1.396988922347755e-102,462.4662628478614,1,1.3969889223477367e-102,0.3503190354550693,0.022879130847515184,15.31172830776988,3.4052057397164005e-52
OvaryIndex,OvaryIndex ~ 1 + worker_v_infl + (1 | Trial) + (1 | Day_Zeit),(Intercept),0.22372640456968187,0.003914942250207769,57.14679560287474,0,937.5469361585394,1,6.756956251376533e-206,0.3293674755437076,0.025385502549236924,12.974628920773846,7.289333973599137e-38
OvaryIndex,OvaryIndex ~ 1 + worker_v_infl + (1 | Trial) + (1 | Day_Zeit),worker_v_inflHub Bee,0.0780428369531137,0.002548804579072156,30.61938823945605,6.756956251376367e-206,937.5469361585394,1,6.756956251376533e-206,0.3293674755437076,0.025385502549236924,12.974628920773846,7.289333973599137e-38
clust,clust ~ 1 + worker_v_infl + (1 | Trial) + (1 | Day_Zeit),(Intercept),0.03905353799858289,0.003013229241569325,12.96069262166172,2.0439361381212853e-38,409.4827902169182,1,4.7501784766670384e-91,-0.16233804686448086,0.02324107731065452,-6.984962215587978,3.074125821604037e-12
clust,clust ~ 1 + worker_v_infl + (1 | Trial) + (1 | Day_Zeit),worker_v_inflHub Bee,0.015088277402596491,7.456273557739901e-4,20.235681115715334,4.7501784766671054e-91,409.4827902169182,1,4.7501784766670384e-91,-0.16233804686448086,0.02324107731065452,-6.984962215587978,3.074125821604037e-12
mean_vel,mean_vel ~ 1 + worker_v_infl + (1 | Trial) + (1 | Day_Zeit),(Intercept),5.316830959994038,0.4984457891165086,10.666818892016485,1.45523435099224e-26,92.56618577165754,1,6.511045761352476e-22,-0.11206971677202879,0.023191602884835814,-4.832340279735787,1.3741058906186103e-6
mean_vel,mean_vel ~ 1 + worker_v_infl + (1 | Trial) + (1 | Day_Zeit),worker_v_inflHub Bee,0.8641529669471446,0.08981821936276749,9.62113224998272,6.511045761352427e-22,92.56618577165754,1,6.511045761352476e-22,-0.11206971677202879,0.023191602884835814,-4.832340279735787,1.3741058906186103e-6
move_perc,move_perc ~ 1 + worker_v_infl + (1 | Trial) + (1 | Day_Zeit),(Intercept),0.569898735682761,0.007744414891236174,73.58835285641482,0,398.0769544687716,1,1.4439760202131314e-88,0.041389963754163484,0.023176352585908843,1.7858704729633974,0.07415752410188987
move_perc,move_perc ~ 1 + worker_v_infl + (1 | Trial) + (1 | Day_Zeit),worker_v_inflHub Bee,0.08232911634971728,0.004126386805086861,19.951865939524843,1.4439760202131504e-88,398.0769544687716,1,1.4439760202131314e-88,0.041389963754163484,0.023176352585908843,1.7858704729633974,0.07415752410188987
