metric,model_specification,term,estimate,std.error,statistic,p.value
Between,Between ~ 1 + Queen + (1 | Trial) + (1 | DayTimePeriod),(Intercept),0.02503186734811508,4.7125493138664825e-4,53.11746505115573,0
Between,Between ~ 1 + Queen + (1 | Trial) + (1 | DayTimePeriod),QueenTRUE,0.16411227119499897,0.011405443210169536,14.38894290830102,6.071683915917158e-47
Close,Close ~ 1 + Queen + (1 | Trial) + (1 | DayTimePeriod),(Intercept),66.65941850946648,4.8344634903783135,13.788379753437779,2.9940917368942866e-43
Close,Close ~ 1 + Queen + (1 | Trial) + (1 | DayTimePeriod),QueenTRUE,21.069347132405287,1.480949892546502,14.226914251755286,6.2373899671997414e-46
Degree,Degree ~ 1 + Queen + (1 | Trial) + (1 | DayTimePeriod),(Intercept),80.60186233860308,NA,NA,NA
Degree,Degree ~ 1 + Queen + (1 | Trial) + (1 | DayTimePeriod),QueenTRUE,2296.132453545465,171.434096606927,13.3936742981191,6.584118947774979e-41
Initiation.Freq,Initiation.Freq ~ 1 + Queen + (1 | Trial) + (1 | DayTimePeriod),(Intercept),0.4962069544396383,NA,NA,NA
Initiation.Freq,Initiation.Freq ~ 1 + Queen + (1 | Trial) + (1 | DayTimePeriod),QueenTRUE,-0.20973694402114007,NA,NA,NA
N90.Day4,N90.Day4 ~ 1 + Queen + (1 | Trial) + (1 | DayTimePeriod),(Intercept),195.1619174410122,NA,NA,NA
N90.Day4,N90.Day4 ~ 1 + Queen + (1 | Trial) + (1 | DayTimePeriod),QueenTRUE,-34.65005934913826,NA,NA,NA
OvaryIndex,OvaryIndex ~ 1 + Queen + (1 | Trial) + (1 | DayTimePeriod),(Intercept),-2.1043268483364965,0.001986908540108496,-1059.0959804428587,0
OvaryIndex,OvaryIndex ~ 1 + Queen + (1 | Trial) + (1 | DayTimePeriod),QueenTRUE,0.058839562702693235,0.001986908540800181,29.613624127357657,9.978103332481307e-193
clust,clust ~ 1 + Queen + (1 | Trial) + (1 | DayTimePeriod),(Intercept),0.030471226450072827,0.0019052266427551695,15.993491675094385,1.4185243773634546e-57
clust,clust ~ 1 + Queen + (1 | Trial) + (1 | DayTimePeriod),QueenTRUE,0.01229682113178665,0.0016352496684505554,7.519843219682919,5.484196625036557e-14
mean_vel,mean_vel ~ 1 + Queen + (1 | Trial) + (1 | DayTimePeriod),(Intercept),4.641477187251081,0.3707034153380801,12.520729497509679,5.7504184408622044e-36
mean_vel,mean_vel ~ 1 + Queen + (1 | Trial) + (1 | DayTimePeriod),QueenTRUE,-1.005913155747299,0.109148913891708,-9.21597036453624,3.084753856412488e-20
move_perc,move_perc ~ 1 + Queen + (1 | Trial) + (1 | DayTimePeriod),(Intercept),0.5351779881237114,0.01372614852438059,38.98966903739387,0
move_perc,move_perc ~ 1 + Queen + (1 | Trial) + (1 | DayTimePeriod),QueenTRUE,0.09303943230787563,0.008552327871443556,10.87884301285229,1.453966748852804e-27
