feature,model_spec,term,estimate,std.error,statistic,p.value
Between,Between ~ 1 + Type + (1 | Trial) + (1 | Day_Zeit),(Intercept),0.18929308868200959,0.016366305935907745,11.566024087738684,2.614126998857679e-4
Between,Between ~ 1 + Type + (1 | Trial) + (1 | Day_Zeit),TypeHub Bee,-0.10578356541292076,0.007645256214520768,-13.836497096330689,1.362364365227343e-40
Close,Close ~ 1 + Type + (1 | Trial) + (1 | Day_Zeit),(Intercept),87.57918593205332,14.244507348069458,6.14827763375915,0.006540467243510876
Close,Close ~ 1 + Type + (1 | Trial) + (1 | Day_Zeit),TypeHub Bee,27.688000184057795,2.6962872427713704,10.268935647820213,8.516504660904802e-24
Degree,Degree ~ 1 + Type + (1 | Trial) + (1 | Day_Zeit),(Intercept),5126.6100267174015,866.5232561016838,5.916298253529862,0.005161971707333791
Degree,Degree ~ 1 + Type + (1 | Trial) + (1 | Day_Zeit),TypeHub Bee,1367.6700571914673,259.33149412571794,5.273829396627208,1.575690273422055e-7
Initiation.Freq,Initiation.Freq ~ 1 + Type + (1 | Trial) + (1 | Day_Zeit),(Intercept),0.28628427332604744,0.024451211074808205,11.70838828596931,2.2088262356534163e-4
Initiation.Freq,Initiation.Freq ~ 1 + Type + (1 | Trial) + (1 | Day_Zeit),TypeHub Bee,0.15518092810023765,0.011930207883705704,13.007395144571118,2.048622134651109e-36
N90.Day4,N90.Day4 ~ 1 + Type + (1 | Trial) + (1 | Day_Zeit),(Intercept),33.676980446993014,3.5885594736753097,9.384540145993991,0.0010846503987380837
N90.Day4,N90.Day4 ~ 1 + Type + (1 | Trial) + (1 | Day_Zeit),TypeHub Bee,8.418424751247215,1.4228776640076886,5.9164782498137,4.218878814324138e-9
OvaryIndex,OvaryIndex ~ 1 + Type + (1 | Trial) + (1 | Day_Zeit),(Intercept),0.2573767733552183,0.008448482299093953,30.46426141921613,3.569919787175902e-9
OvaryIndex,OvaryIndex ~ 1 + Type + (1 | Trial) + (1 | Day_Zeit),TypeHub Bee,0.05318093806479952,0.006120115938565116,8.689531145919434,1.2071765253146518e-17
clust,clust ~ 1 + Type + (1 | Trial) + (1 | Day_Zeit),(Intercept),0.04271930294398131,0.004327176184377033,9.872328078116247,2.9934233759599617e-6
clust,clust ~ 1 + Type + (1 | Trial) + (1 | Day_Zeit),TypeHub Bee,0.010590459441054939,0.0019314743933459533,5.483095958993666,5.06249918426935e-8
mean_vel,mean_vel ~ 1 + Type + (1 | Trial) + (1 | Day_Zeit),(Intercept),3.6277151403561487,0.6658602614196972,5.448162851198549,0.007100630698450195
mean_vel,mean_vel ~ 1 + Type + (1 | Trial) + (1 | Day_Zeit),TypeHub Bee,2.0671789499323023,0.21796038700643988,9.484195629874824,1.202912774685713e-20
move_perc,move_perc ~ 1 + Type + (1 | Trial) + (1 | Day_Zeit),(Intercept),0.6285727171442996,0.029203258646114092,21.524060885169064,6.76909675050137e-5
move_perc,move_perc ~ 1 + Type + (1 | Trial) + (1 | Day_Zeit),TypeHub Bee,0.003857352749624198,0.01013023823372399,0.3807761141078507,0.7034347301109926
