metric,model_specification,term,estimate,std.error,statistic,p.value
Between,Between ~ 1 + RoleClassification + (1 | Trial) + (1 | RoleClassification:Trial) +      (1 | DayTimePeriod) + (1 | DayTimePeriod:Trial),(Intercept),0.02501891586475898,0.03393012753112058,0.7373658068868655,0.48917002696361767
Between,Between ~ 1 + RoleClassification + (1 | Trial) + (1 | RoleClassification:Trial) +      (1 | DayTimePeriod) + (1 | DayTimePeriod:Trial),RoleClassificationQueen,0.16419511978553172,0.048018323493947176,3.419426332246458,0.019522864327511463
Close,Close ~ 1 + RoleClassification + (1 | Trial) + (1 | RoleClassification:Trial) +      (1 | DayTimePeriod) + (1 | DayTimePeriod:Trial),(Intercept),66.63431949014036,7.082183985031114,9.408724714152934,9.936955162846862e-4
Close,Close ~ 1 + RoleClassification + (1 | Trial) + (1 | RoleClassification:Trial) +      (1 | DayTimePeriod) + (1 | DayTimePeriod:Trial),RoleClassificationQueen,20.96604054059079,4.622327488514913,4.535818933791486,0.020030138601190118
Degree,Degree ~ 1 + RoleClassification + (1 | Trial) + (1 | RoleClassification:Trial) +      (1 | DayTimePeriod) + (1 | DayTimePeriod:Trial),(Intercept),2838.884589716228,588.5262581287038,4.823717804440592,0.003582868166064795
Degree,Degree ~ 1 + RoleClassification + (1 | Trial) + (1 | RoleClassification:Trial) +      (1 | DayTimePeriod) + (1 | DayTimePeriod:Trial),RoleClassificationQueen,2288.6892085989552,743.5791137164028,3.077936384146273,0.054271738551010806
Initiation.Freq,Initiation.Freq ~ 1 + RoleClassification + (1 | Trial) + (1 |      RoleClassification:Trial) + (1 | DayTimePeriod) + (1 | DayTimePeriod:Trial),(Intercept),0.49625382051061545,0.01482956444042108,33.46381631802832,0.0022641527157654102
Initiation.Freq,Initiation.Freq ~ 1 + RoleClassification + (1 | Trial) + (1 |      RoleClassification:Trial) + (1 | DayTimePeriod) + (1 | DayTimePeriod:Trial),RoleClassificationQueen,-0.20992677202341042,0.024246867855156413,-8.657892362735286,0.003230771609586286
N90.Day4,N90.Day4 ~ 1 + RoleClassification + (1 | Trial) + (1 | RoleClassification:Trial) +      (1 | DayTimePeriod) + (1 | DayTimePeriod:Trial),(Intercept),58.025936411262805,4.00591423816524,14.485067068694766,8.536837053715661e-5
N90.Day4,N90.Day4 ~ 1 + RoleClassification + (1 | Trial) + (1 | RoleClassification:Trial) +      (1 | DayTimePeriod) + (1 | DayTimePeriod:Trial),RoleClassificationQueen,-24.27008967750184,4.117787857547695,-5.89396309793279,0.010247487484890802
OvaryIndex,OvaryIndex ~ 1 + RoleClassification + (1 | Trial) + (1 | RoleClassification:Trial) +      (1 | DayTimePeriod) + (1 | DayTimePeriod:Trial),(Intercept),0.18500132932935132,0.012390961031475722,14.93034550422747,5.118056531540136e-5
OvaryIndex,OvaryIndex ~ 1 + RoleClassification + (1 | Trial) + (1 | RoleClassification:Trial) +      (1 | DayTimePeriod) + (1 | DayTimePeriod:Trial),RoleClassificationQueen,0.07235638139117244,0.02023874288524438,3.5751420827588003,0.012028705382567824
clust,clust ~ 1 + RoleClassification + (1 | Trial) + (1 | RoleClassification:Trial) +      (1 | DayTimePeriod) + (1 | DayTimePeriod:Trial),(Intercept),0.030448179805414706,0.002584593927929959,11.780643557342534,1.4872739144299559e-4
clust,clust ~ 1 + RoleClassification + (1 | Trial) + (1 | RoleClassification:Trial) +      (1 | DayTimePeriod) + (1 | DayTimePeriod:Trial),RoleClassificationQueen,0.012306186524665107,0.002648948153863874,4.6456879522971235,0.018801170024914663
mean_vel,mean_vel ~ 1 + RoleClassification + (1 | Trial) + (1 | RoleClassification:Trial) +      (1 | DayTimePeriod) + (1 | DayTimePeriod:Trial),(Intercept),4.641704177661442,0.37248695267088056,12.461387289886437,2.984100382070755e-5
mean_vel,mean_vel ~ 1 + RoleClassification + (1 | Trial) + (1 | RoleClassification:Trial) +      (1 | DayTimePeriod) + (1 | DayTimePeriod:Trial),RoleClassificationQueen,-1.0041244521856212,0.4942557077892844,-2.031588985945932,0.13466198240552524
move_perc,move_perc ~ 1 + RoleClassification + (1 | Trial) + (1 | RoleClassification:Trial) +      (1 | DayTimePeriod) + (1 | DayTimePeriod:Trial),(Intercept),0.5352483250670601,0.01905539187258747,28.089074664323892,6.346561535240191e-7
move_perc,move_perc ~ 1 + RoleClassification + (1 | Trial) + (1 | RoleClassification:Trial) +      (1 | DayTimePeriod) + (1 | DayTimePeriod:Trial),RoleClassificationQueen,0.09243876934049418,0.027246359276957843,3.3927016964306618,0.016771302707377495
